ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.01,0.06,0.38,0.0,0.42,0.0,0.63,0.0,0.53,0.0,1.0,0.0,1.0,0.0,0.38,0.54,0.78,0.2,0.19,0.54,0.34,0.2
0.77,0.0,-0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.02,0.07,0.3,0.0,0.31,0.01,0.32,0.0,0.32,0.01,1.0,0.0,0.99,0.01,0.35,0.62,0.78,0.19,0.08,0.62,0.34,0.19
0.77,0.01,0.04,0.35,0.0,0.21,0.01,0.0,1.0,0.1,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.01,0.05,0.86,0.0,0.6,0.0,0.0,1.0,0.3,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.02,0.08,0.58,0.0,0.84,0.0,0.0,1.0,0.42,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.03,0.09,0.52,0.0,0.87,0.0,0.0,1.0,0.43,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.03,0.11,0.25,0.0,0.55,0.01,0.0,1.0,0.28,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.05,0.13,0.23,0.01,0.58,0.01,0.79,0.0,0.69,0.01,1.0,0.0,0.99,0.01,0.87,0.13,0.79,0.19,0.23,0.13,0.34,0.19
0.77,0.07,0.16,0.38,0.01,0.58,0.02,0.4,0.0,0.49,0.01,1.0,0.0,0.98,0.02,0.53,0.44,0.79,0.19,0.12,0.44,0.35,0.19
0.77,0.04,0.1,0.91,0.0,0.62,0.01,0.0,1.0,0.31,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.04,0.11,0.93,0.0,0.72,0.01,0.07,0.0,0.4,0.01,1.0,0.0,0.99,0.01,0.51,0.47,0.78,0.19,0.05,0.47,0.34,0.19
0.77,0.08,0.16,0.59,0.01,0.9,0.0,0.21,0.0,0.56,0.0,1.0,0.0,1.0,0.0,0.65,0.34,0.79,0.19,0.1,0.34,0.34,0.19
0.77,0.04,0.12,0.52,0.0,0.74,0.01,0.0,1.0,0.37,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
